user_id,order,item_id
0,1,57
0,2,81
0,3,56
1,1,19
1,2,3
1,3,4
2,1,49
2,2,32
2,3,35
3,1,49
3,2,35
3,3,26
4,1,3
4,2,49
4,3,21
5,1,3
5,2,33
5,3,26
6,1,3
6,2,32
6,3,31
7,1,19
7,2,3
7,3,4
8,1,32
8,2,33
8,3,21
9,1,19
9,2,49
9,3,32
10,1,56
10,2,33
10,3,42
11,1,3
11,2,32
11,3,35
12,1,19
12,2,4
12,3,32
13,1,3
13,2,4
13,3,7
14,1,3
14,2,4
14,3,57
15,1,26
15,2,21
15,3,24
16,1,57
16,2,49
16,3,32
17,1,19
17,2,3
17,3,81
18,1,49
18,2,56
18,3,33
19,1,35
19,2,81
19,3,56
20,1,81
20,2,21
20,3,31
21,1,35
21,2,81
21,3,33
22,1,49
22,2,56
22,3,26
23,1,19
23,2,4
23,3,32
24,1,33
24,2,31
24,3,24
25,1,57
25,2,32
25,3,26
26,1,19
26,2,32
26,3,120
27,1,3
27,2,81
27,3,14
28,1,57
28,2,42
28,3,63
29,1,19
29,2,4
29,3,49
30,1,32
30,2,33
30,3,26
31,1,19
31,2,3
31,3,57
32,1,3
32,2,49
32,3,31
33,1,19
33,2,3
33,3,49
34,1,35
34,2,56
34,3,26
35,1,3
35,2,49
35,3,7
36,1,3
36,2,56
36,3,33
37,1,3
37,2,33
37,3,1
38,1,32
38,2,7
38,3,56
39,1,3
39,2,32
39,3,81
40,1,57
40,2,49
40,3,81
41,1,3
41,2,32
41,3,7
42,1,32
42,2,7
42,3,35
43,1,19
43,2,49
43,3,32
44,1,57
44,2,49
44,3,7
45,1,19
45,2,3
45,3,57
46,1,56
46,2,21
46,3,17
47,1,19
47,2,57
47,3,32
48,1,3
48,2,4
48,3,57
49,1,3
49,2,49
49,3,7
50,1,4
50,2,57
50,3,81
51,1,32
51,2,7
51,3,14
52,1,3
52,2,4
52,3,49
53,1,49
53,2,81
53,3,56
54,1,19
54,2,32
54,3,7
55,1,57
55,2,26
55,3,120
56,1,19
56,2,3
56,3,32
57,1,32
57,2,7
57,3,33
58,1,3
58,2,56
58,3,21
59,1,81
59,2,1
59,3,17
60,1,3
60,2,81
60,3,24
61,1,32
61,2,33
61,3,21
62,1,19
62,2,56
62,3,21
63,1,3
63,2,7
63,3,81
64,1,33
64,2,26
64,3,42
65,1,4
65,2,57
65,3,81
66,1,3
66,2,49
66,3,33
67,1,19
67,2,57
67,3,32
68,1,19
68,2,57
68,3,56
69,1,3
69,2,32
69,3,7
70,1,57
70,2,7
70,3,26
71,1,14
71,2,17
71,3,5
72,1,19
72,2,49
72,3,32
73,1,26
73,2,42
73,3,14
74,1,7
74,2,26
74,3,24
75,1,3
75,2,7
75,3,33
76,1,19
76,2,57
76,3,49
77,1,3
77,2,4
77,3,32
78,1,3
78,2,4
78,3,33
79,1,19
79,2,4
79,3,35
80,1,19
80,2,49
80,3,32
81,1,3
81,2,56
81,3,120
82,1,56
82,2,26
82,3,31
83,1,120
83,2,24
83,3,14
84,1,3
84,2,57
84,3,32
85,1,57
85,2,32
85,3,26
86,1,19
86,2,32
86,3,81
87,1,3
87,2,57
87,3,32
88,1,4
88,2,49
88,3,32
89,1,7
89,2,35
89,3,33
90,1,19
90,2,32
90,3,35
91,1,3
91,2,4
91,3,57
92,1,26
92,2,24
92,3,42
93,1,19
93,2,49
93,3,32
94,1,81
94,2,21
94,3,31
95,1,19
95,2,4
95,3,57
96,1,19
96,2,7
96,3,26
97,1,49
97,2,35
97,3,33
98,1,35
98,2,81
98,3,33
99,1,19
99,2,56
99,3,24
100,1,3
100,2,57
100,3,81
101,1,32
101,2,81
101,3,33
102,1,3
102,2,4
102,3,57
103,1,57
103,2,33
103,3,21
104,1,3
104,2,21
104,3,31
105,1,19
105,2,81
105,3,26
106,1,57
106,2,1
106,3,8
107,1,3
107,2,7
107,3,33
108,1,19
108,2,3
108,3,49
109,1,57
109,2,7
109,3,35
110,1,4
110,2,57
110,3,26
111,1,49
111,2,7
111,3,21
112,1,3
112,2,4
112,3,81
113,1,19
113,2,4
113,3,57
114,1,19
114,2,4
114,3,49
115,1,26
115,2,21
115,3,63
116,1,57
116,2,49
116,3,21
117,1,3
117,2,4
117,3,57
118,1,3
118,2,57
118,3,81
119,1,19
119,2,4
119,3,35
120,1,3
120,2,35
120,3,33
121,1,32
121,2,56
121,3,120
122,1,19
122,2,4
122,3,57
123,1,49
123,2,32
123,3,35
124,1,4
124,2,49
124,3,32
125,1,49
125,2,32
125,3,35
126,1,81
126,2,21
126,3,120
127,1,19
127,2,3
127,3,49
128,1,35
128,2,81
128,3,56
129,1,4
129,2,56
129,3,33
130,1,19
130,2,3
130,3,57
131,1,57
131,2,35
131,3,81
132,1,32
132,2,35
132,3,33
133,1,3
133,2,81
133,3,56
134,1,19
134,2,57
134,3,7
135,1,3
135,2,4
135,3,57
136,1,19
136,2,3
136,3,4
137,1,49
137,2,32
137,3,120
138,1,3
138,2,4
138,3,57
139,1,19
139,2,4
139,3,57
140,1,26
140,2,24
140,3,63
141,1,32
141,2,35
141,3,5
142,1,3
142,2,33
142,3,21
143,1,3
143,2,81
143,3,56
144,1,3
144,2,4
144,3,32
145,1,57
145,2,32
145,3,31
146,1,21
146,2,42
146,3,63
147,1,7
147,2,31
147,3,24
148,1,4
148,2,32
148,3,35
149,1,4
149,2,32
149,3,7
150,1,56
150,2,33
150,3,26
151,1,19
151,2,120
151,3,31
152,1,4
152,2,56
152,3,120
153,1,49
153,2,7
153,3,26
154,1,3
154,2,49
154,3,7
155,1,3
155,2,49
155,3,33
156,1,3
156,2,4
156,3,49
157,1,32
157,2,81
157,3,33
158,1,3
158,2,49
158,3,26
159,1,57
159,2,33
159,3,120
160,1,19
160,2,32
160,3,56
161,1,49
161,2,32
161,3,7
162,1,19
162,2,21
162,3,120
163,1,19
163,2,3
163,3,49
164,1,81
164,2,24
164,3,1
165,1,32
165,2,7
165,3,14
166,1,57
166,2,49
166,3,32
167,1,19
167,2,3
167,3,4
168,1,35
168,2,31
168,3,24
169,1,57
169,2,35
169,3,56
170,1,81
170,2,120
170,3,1
171,1,57
171,2,49
171,3,32
172,1,49
172,2,81
172,3,24
173,1,81
173,2,24
173,3,1
174,1,81
174,2,21
174,3,120
175,1,81
175,2,33
175,3,21
176,1,49
176,2,33
176,3,26
177,1,19
177,2,3
177,3,4
178,1,19
178,2,3
178,3,4
179,1,19
179,2,4
179,3,49
180,1,3
180,2,4
180,3,56
181,1,19
181,2,4
181,3,49
182,1,4
182,2,57
182,3,33
183,1,49
183,2,7
183,3,26
184,1,3
184,2,21
184,3,24
185,1,35
185,2,56
185,3,24
186,1,19
186,2,4
186,3,49
187,1,19
187,2,81
187,3,21
188,1,24
188,2,42
188,3,1
189,1,19
189,2,49
189,3,32
190,1,19
190,2,57
190,3,7
191,1,57
191,2,7
191,3,35
192,1,3
192,2,35
192,3,81
193,1,19
193,2,4
193,3,49
194,1,3
194,2,32
194,3,7
195,1,19
195,2,3
195,3,81
196,1,81
196,2,33
196,3,26
197,1,3
197,2,26
197,3,31
198,1,3
198,2,7
198,3,35
199,1,7
199,2,33
199,3,26
200,1,57
200,2,7
200,3,35
201,1,19
201,2,35
201,3,31
202,1,19
202,2,57
202,3,35
203,1,57
203,2,7
203,3,26
204,1,49
204,2,7
204,3,14
205,1,57
205,2,32
205,3,26
206,1,81
206,2,56
206,3,42
207,1,19
207,2,32
207,3,33
208,1,4
208,2,57
208,3,49
209,1,19
209,2,21
209,3,42
210,1,3
210,2,57
210,3,32
211,1,19
211,2,4
211,3,7
212,1,19
212,2,4
212,3,57
213,1,32
213,2,21
213,3,14
214,1,3
214,2,49
214,3,35
215,1,19
215,2,3
215,3,4
216,1,19
216,2,33
216,3,120
217,1,4
217,2,32
217,3,35
218,1,57
218,2,56
218,3,120
219,1,19
219,2,49
219,3,81
220,1,49
220,2,7
220,3,24
221,1,4
221,2,21
221,3,120
222,1,3
222,2,57
222,3,42
223,1,19
223,2,57
223,3,49
224,1,3
224,2,35
224,3,56
225,1,49
225,2,26
225,3,120
226,1,63
226,2,46
226,3,8
227,1,19
227,2,4
227,3,57
228,1,57
228,2,7
228,3,21
229,1,35
229,2,33
229,3,120
230,1,120
230,2,1
230,3,8
231,1,81
231,2,120
231,3,24
232,1,81
232,2,26
232,3,21
233,1,3
233,2,33
233,3,21
234,1,19
234,2,3
234,3,32
235,1,81
235,2,33
235,3,21
236,1,4
236,2,57
236,3,56
237,1,3
237,2,4
237,3,56
238,1,3
238,2,4
238,3,21
239,1,81
239,2,33
239,3,26
240,1,4
240,2,26
240,3,21
241,1,49
241,2,35
241,3,120
242,1,81
242,2,21
242,3,31
243,1,19
243,2,3
243,3,57
244,1,81
244,2,56
244,3,33
245,1,19
245,2,35
245,3,56
246,1,57
246,2,49
246,3,7
247,1,57
247,2,49
247,3,35
248,1,57
248,2,49
248,3,35
249,1,49
249,2,56
249,3,33
250,1,19
250,2,26
250,3,120
251,1,26
